Code_commune;type_maison;type_appartement;type_autres
34069;2183;358;6
58018;47;2;
22099;489;12;3
34068;235;21;2
58017;286;3;
46045;716;256;4
46046;236;10;
46043;140;1;
46044;298;10;2
46041;113;1;1
46042;2175;2850;85
22090;520;20;3
22091;202;6;
46040;216;7;2
22229;672;17;2
10241;26;;
10240;186;10;
22221;1158;17;24
34210;944;132;6
71199;112;2;
95166;173;13;1
22222;3280;335;13
22223;961;41;7
22224;861;20;2
71198;255;19;
95169;170;9;1
22225;2386;210;8
71195;115;2;1
22226;1429;60;3
71196;379;18;3
22227;440;12;1
71193;355;4;2
22228;910;48;9
71194;313;5;
34218;224;10;1
71191;232;3;2
34217;1818;573;4
71192;780;201;21
09249;118;3;1
34216;161;6;
34215;403;29;3
71190;1166;238;17
09247;245;15;
34214;646;47;6
09246;347;18;5
34213;2113;677;36
09245;531;27;
34212;108;7;
09244;323;19;3
22220;903;107;3
34211;593;135;2
09243;47;1;
10243;53;2;
09242;22;3;
10242;99;1;
09241;418;12;1
10245;337;12;1
09240;187;8;1
10247;78;;1
10246;118;;
10249;216;6;1
10248;181;7;
34219;386;29;1
10250;104;4;
10252;39;;
10251;134;;1
22232;1067;28;3
22233;1257;24;3
22234;506;14;2
95157;94;9;1
22235;152;4;
22236;418;13;
95151;128;;5
22237;1076;34;
22238;380;6;5
22239;639;8;2
95154;102;15;
34207;1415;78;6
09239;325;16;2
34206;297;47;6
09238;351;12;3
34205;190;7;3
09237;67;2;
34204;618;48;4
95150;296;28;
09236;221;5;
34203;915;91;3
09235;475;53;3
34202;2317;686;14
09234;65;2;
34201;237;4;2
09233;22;1;
22231;297;2;2
34200;170;13;
09232;146;22;
10254;172;4;1
09231;456;7;3
10253;63;1;
09230;154;8;
10256;172;;
10255;136;3;1
10258;155;;
10257;20;;
34209;3860;411;43
10259;202;5;
34208;157;18;1
22207;1240;118;1
22208;874;40;7
22209;1828;395;6
22200;305;9;1
22201;769;7;1
22202;476;18;
22203;1946;75;13
22204;753;20;2
22205;285;10;
22206;1621;341;8
10229;45;;
10228;123;3;2
95181;112;24;2
95183;1516;1150;4
09269;191;13;4
09268;724;96;
09267;348;4;6
09266;32;1;2
09265;1177;177;26
10221;88;2;
09264;566;64;1
10220;775;12;1
09263;56;;
10223;321;25;2
09262;183;21;
10222;261;;2
09261;2526;1845;48
10225;173;1;1
09260;16;;
10224;824;54;4
10227;195;12;
10226;54;1;
22218;1358;20;8
22219;1330;67;5
10230;280;1;2
22210;2504;79;24
95177;471;50;5
22211;1849;114;4
22212;672;11;4
22213;1809;117;8
22214;2553;86;12
22215;1702;444;8
22216;534;22;2
22217;278;8;1
95176;2082;2109;49
10239;249;1;
95170;208;33;2
09259;79;6;
09258;191;22;2
09257;401;31;1
09256;25;8;1
09255;23;2;
09254;137;1;1
10232;180;10;1
09253;227;5;6
10231;275;;
09252;170;15;3
10234;111;5;1
09251;108;3;
10233;662;93;4
09250;74;3;
10236;26;;
10235;26;;
10238;257;24;2
10237;252;2;
09209;618;18;4
09208;77;5;
09207;756;74;3
10207;72;;
09206;594;352;7
10206;67;1;
09205;44;;5
10209;853;63;2
09204;127;7;3
10208;170;;1
09203;94;3;
09202;146;30;40
09201;40;1;
09200;65;4;9
10201;33;1;
10200;57;;
10203;210;10;
10202;97;14;4
10205;49;;
10204;58;;
95199;1284;1372;8
95197;1305;2751;83
10218;97;7;1
10217;23;;
10219;25;1;
10210;199;2;
10212;51;;
10211;380;2;
10214;48;2;1
10213;94;2;1
10216;610;191;52
10215;113;7;
09229;268;5;1
09228;208;16;3
09227;101;7;
09226;48;;
09225;1815;1794;33
09224;263;24;9
09223;511;66;5
09222;42;1;
09221;163;145;2
09220;159;34;29
09219;196;10;2
09218;114;12;
09217;135;15;
09216;40;1;
09215;86;2;
09214;588;22;12
