Code_commune;surf_moins_30;surf_30_40;surf_40_60;surf_60_80;surf_80_100;surf_100_120;surf_plus_120;surf_hors_res_principale;surf_hors_log_ordinaire
78192;6;8;34;64;127;133;127;50;
91161;169;326;707;1132;727;157;120;330;
78196;1;2;5;12;16;15;70;25;
91156;15;18;83;121;185;178;186;55;
91159;10;25;50;85;147;154;138;38;
78185;2;3;3;9;22;41;79;29;
78189;9;14;30;49;68;103;398;68;
91180;1;4;16;22;19;30;58;41;
91186;4;3;24;21;39;49;84;21;
91184;1;3;4;13;19;29;45;43;
91179;87;90;227;377;466;316;313;184;
91175;5;23;67;88;176;160;144;55;
91174;878;1151;2507;2286;1042;435;270;846;
16067;2;2;9;20;46;60;55;37;
16065;3;3;19;57;82;45;47;167;
16064;4;14;17;84;151;100;101;173;
17395;4;5;13;31;73;35;85;62;
41027;1;1;1;11;11;13;20;18;
17396;4;5;28;86;176;173;199;88;
41026;1;1;9;19;17;9;22;85;
17397;38;70;65;176;352;242;294;360;
41025;7;16;58;157;180;90;97;152;
16068;1;1;18;44;66;48;76;154;
17391;3;14;37;111;276;239;299;55;
80628;1;5;14;42;91;63;63;36;
80627;2;3;14;29;107;87;113;34;
17393;13;14;34;89;207;179;218;210;
17394;2;3;18;32;84;88;127;60;
41028;2;1;11;23;52;54;54;63;
80625;6;14;34;115;206;124;98;74;
16063;1;;3;8;19;22;29;50;
16062;1;;;1;9;15;24;14;
16061;5;11;30;109;535;493;360;110;
16060;1;1;6;22;50;51;71;63;
54344;1;1;1;13;27;23;29;11;
78311;398;486;1187;1388;869;504;545;430;
04079;9;16;37;122;199;145;115;109;
53013;1;2;14;48;83;52;46;96;
78310;93;136;396;414;330;188;163;322;
80630;10;26;131;249;278;157;122;130;
53011;1;4;11;45;84;86;93;23;
28049;1;;3;12;24;20;33;6;
53016;8;5;36;118;164;89;89;174;
53017;17;1;16;100;110;63;93;67;
78314;20;30;110;241;520;377;181;84;
80634;1;2;8;49;105;95;81;50;
04076;11;35;77;87;80;47;65;363;
28047;2;4;21;46;98;54;69;48;
78317;3;2;15;16;49;64;137;41;
80633;1;5;23;50;72;48;71;114;
04077;1;1;8;20;25;23;6;83;
53015;1;3;29;101;183;148;214;90;
54345;1;;6;14;36;33;45;10;
80632;28;78;199;184;215;160;238;147;
04070;418;330;531;855;801;318;229;873;
04073;7;20;38;41;33;31;38;1968;
53019;1;;1;9;14;11;13;18;
28041;4;;2;7;26;20;27;29;
28040;1;;6;16;26;35;43;14;
16078;5;18;49;196;649;639;681;213;
41012;1;;6;19;33;19;23;50;
16076;4;11;32;74;136;95;99;137;
65002;6;11;28;38;82;94;102;62;
41016;1;5;17;69;140;97;97;129;
65004;2;2;5;21;44;52;56;44;
41013;1;;1;17;41;26;32;37;
65006;2;2;15;28;34;22;30;159;
16070;6;17;69;146;260;154;124;313;
65009;1;1;5;7;17;26;27;26;
80617;5;2;10;17;28;18;22;17;
41018;869;684;1731;2434;1803;793;656;1788;
41017;1;1;10;47;84;51;97;89;
80614;2;1;4;20;37;33;25;25;
54351;4;13;26;106;229;154;179;72;
16073;14;25;101;156;250;185;134;360;
16072;2;;7;19;63;47;73;43;
80618;4;9;56;129;142;62;59;162;
04067;1;1;4;3;8;7;3;15;
80620;94;225;568;941;1007;340;264;649;
04068;4;7;30;72;111;66;93;132;
28057;1;1;13;36;62;57;58;35;
04069;4;5;9;17;14;8;5;52;
53021;1;;6;27;94;82;126;16;
54353;2;1;23;41;95;89;124;39;
28055;2;;10;28;45;64;66;28;
53022;2;5;14;29;51;46;55;53;
54352;2;3;18;37;74;84;134;50;
04063;2;16;55;79;137;126;105;106;
53028;1;1;6;25;64;67;53;26;
54358;1;;1;5;27;30;43;3;
04065;4;11;32;63;82;69;61;144;
53025;1;9;20;64;128;104;90;50;
54357;346;209;547;1367;824;369;256;506;
80622;5;26;100;111;146;83;68;63;
04066;1;12;20;23;42;54;77;48;
28059;8;33;87;195;202;96;76;109;
53026;2;1;10;18;53;44;54;18;
80621;5;2;16;51;97;56;64;42;
78307;6;6;14;23;64;86;188;118;
04061;2;16;40;67;61;38;31;551;
28052;2;2;10;57;86;70;92;49;
28053;1;2;;21;20;24;41;13;
28050;2;2;9;19;24;28;28;42;
28051;26;95;273;476;632;378;286;446;
16045;1;;3;10;24;39;67;19;
17377;1;;3;6;12;15;17;26;
42333;1;1;8;17;54;70;86;44;
42334;1;16;54;91;180;118;87;90;
16049;5;10;11;32;43;35;54;111;
17373;13;18;26;84;224;210;293;71;
65016;1;1;1;3;15;15;32;8;
16048;1;1;7;4;16;17;17;18;
17374;2;;5;13;38;29;24;28;
41004;1;3;5;30;41;15;30;83;
42330;81;49;333;868;1186;629;370;259;
65015;1;;1;2;4;13;27;12;
16047;1;1;3;10;24;29;53;29;
17375;3;9;40;65;179;113;116;145;
41003;15;6;11;54;80;52;48;20;
42331;2;7;24;39;121;128;120;81;
16046;3;7;22;83;139;115;114;152;
17376;1;7;15;76;299;164;183;35;
41002;1;4;32;70;105;71;64;106;
42332;8;17;82;200;682;510;539;156;
65017;5;9;16;25;19;17;17;925;
41009;1;;10;32;104;66;84;24;
41008;2;4;24;34;86;63;80;92;
80649;14;22;76;107;168;98;103;2849;
41007;2;5;26;68;92;60;57;97;
54362;1;10;47;150;167;105;107;59;
16040;1;2;4;13;25;34;64;37;
28023;6;12;30;63;130;119;176;78;
53034;7;36;62;329;873;568;648;111;
54366;10;11;43;127;213;169;180;155;
28024;1;2;30;98;200;175;162;24;
54365;1;;7;15;35;42;44;18;
77002;9;15;21;36;73;75;94;79;
80652;2;2;16;50;86;71;69;41;
28021;1;6;35;115;220;128;124;68;
77003;2;2;8;13;34;29;57;42;
78335;253;148;402;641;600;309;204;241;
28022;1;2;11;47;118;109;163;47;
30356;84;50;96;215;388;268;180;99;
77004;1;2;7;13;26;28;44;14;
78334;4;8;21;60;127;128;282;83;
04096;4;23;69;124;113;73;90;825;
30351;78;68;253;400;487;310;542;345;
77005;56;57;134;198;239;173;386;108;
78337;9;19;60;112;213;163;188;110;
30350;55;127;303;494;472;281;204;811;
53039;4;9;63;157;202;148;150;97;
77006;2;14;37;34;69;69;152;70;
80656;2;24;47;79;147;76;93;60;
30353;1;5;3;10;5;7;1;35;
53036;6;8;23;48;101;102;120;101;
04099;1;4;8;8;20;8;7;92;
28026;1;1;3;13;39;24;29;17;
30352;4;18;41;96;203;198;258;140;
54367;1;2;16;64;456;188;233;56;
77008;3;11;6;30;100;108;108;49;
80654;2;8;19;51;75;50;37;47;
04092;6;2;7;23;13;5;5;84;
04094;64;105;187;294;283;134;179;2834;
04090;5;8;18;29;18;17;15;130;
42322;2;8;27;52;102;103;123;124;
17389;2;6;15;33;70;63;69;29;
42323;6;63;299;633;1374;854;609;257;
42324;1;3;12;22;150;143;84;2;
65025;58;73;239;371;326;214;236;832;
17384;1;;5;9;19;25;31;50;
16059;2;1;7;7;16;15;24;37;
17385;39;115;340;667;978;635;587;4428;
65026;1;1;1;4;7;5;15;16;
16058;1;4;12;36;169;152;252;71;
17386;1;3;9;26;48;38;43;38;
65029;2;;12;27;50;40;89;168;
16057;1;2;5;12;21;28;71;55;
17387;4;9;25;97;262;191;193;96;
65028;17;1;1;5;17;26;36;16;
17380;28;51;140;244;472;418;695;4594;
80639;13;2;15;54;197;120;106;45;
17381;1;;1;10;21;32;40;27;
17382;2;3;13;18;57;61;71;44;
42326;2;5;22;48;88;106;120;101;
53041;2;3;9;18;21;30;35;20;
54373;2;2;10;27;72;62;71;24;
42327;2;8;27;41;70;69;84;35;
53042;1;7;35;73;108;74;69;100;
42328;2;9;12;35;63;68;90;128;
54371;7;4;21;38;132;118;123;29;
78320;5;10;20;34;60;55;92;48;
53040;3;11;22;36;64;58;71;40;
28034;11;3;23;34;91;73;85;48;
30344;9;34;150;388;728;391;341;187;
78322;462;172;275;555;541;451;666;278;
28035;3;2;23;63;107;87;106;50;
30343;4;15;7;32;84;62;68;127;
78321;46;104;151;256;343;401;867;238;
28032;1;5;7;20;42;23;32;30;
30346;6;14;38;82;255;178;221;257;
54375;1;5;11;48;149;123;130;28;
78324;3;6;11;22;53;55;74;6;
30345;2;6;39;50;45;26;18;197;
54374;13;1;1;14;32;64;74;18;
30340;3;3;10;21;72;62;64;78;
53049;1;1;5;19;64;69;82;20;
80646;1;1;5;6;9;4;7;7;
04086;1;6;9;18;27;21;51;137;
28039;6;9;49;129;202;147;107;68;
78325;1;2;9;29;59;54;86;42;
80645;3;3;8;31;70;48;54;15;
