Date;Code_region;Filiere;Injection_quot
2020-12-17;93;Bioénergies;973.426
2020-12-17;93;Solaire;30.597
2020-12-18;84;Eolien;235.9345
2020-12-18;27;Hydraulique;2873.4304
2020-12-18;24;Nucléaire;222362.08
2020-12-18;28;Nucléaire;156689.1
2020-12-18;75;Solaire;409.541
2020-12-18;76;Eolien;1240.776
2020-12-19;84;Eolien;287.3975
2020-12-19;84;Hydraulique;63000.727
2020-12-19;53;Thermique non renouvelable;0.0
2020-12-19;24;Solaire;27.594
2020-12-19;75;Thermique non renouvelable;368.289
2020-12-19;76;Eolien;2297.4336
2020-12-19;76;Nucléaire;59811.44
2020-12-19;93;Bioénergies;976.407
2020-12-20;44;Hydraulique;18961.1
2020-12-20;44;Nucléaire;218279.95
2020-12-20;32;Eolien;1157.265
2020-12-20;32;Nucléaire;87729.51
2020-12-20;32;Thermique non renouvelable;706.449
2020-12-20;28;Nucléaire;165809.28
2020-12-20;75;Hydraulique;12188.58
2020-12-20;75;Nucléaire;145556.0
2020-12-20;75;Thermique non renouvelable;368.223
2020-12-20;76;Nucléaire;60414.164
2020-12-21;84;Hydraulique;69636.54
2020-12-21;84;Nucléaire;253745.92
2020-12-21;24;Nucléaire;215336.02
2020-12-21;24;Solaire;13.424
2020-12-21;44;Solaire;24.5525
2020-12-21;32;Bioénergies;605.31
2020-07-13;84;Nucléaire;172236.27
2020-07-13;24;Solaire;329.8395
2020-07-13;75;Solaire;2441.2534
2020-07-13;93;Hydraulique;22825.498
2020-07-14;53;Thermique non renouvelable;0.0
2020-07-14;44;Hydraulique;20168.738
2020-07-14;32;Nucléaire;83468.75
2020-07-14;11;Thermique non renouvelable;0.0
2020-07-14;75;Nucléaire;52795.438
2020-07-14;75;Thermique non renouvelable;0.0
2020-07-14;76;Eolien;533.6845
2020-07-14;76;Eolien;264.634
2020-07-14;76;Hydraulique;13022.936
2020-07-14;93;Hydraulique;22105.992
2020-07-15;44;Eolien;41.148
2020-07-15;76;Hydraulique;24228.295
2020-07-15;93;Solaire;399.1465
2020-07-16;24;Solaire;114.973
2020-07-16;32;Eolien;44.521
2020-07-16;76;Eolien;1355.8785
2020-07-16;76;Eolien;3476.447
2020-07-16;76;Nucléaire;55559.836
