Date;Jour;Zone_A;Zone_B;Zone_C;Nom_vacances
21-01-2013;Lundi; ; ; ;
22-01-2013;Mardi; ; ; ;
23-01-2013;Mercredi; ; ; ;
24-01-2013;Jeudi; ; ; ;
25-01-2013;Vendredi; ; ; ;
26-01-2013;Samedi; ; ; ;
27-01-2013;Dimanche; ; ; ;
28-01-2013;Lundi; ; ; ;
29-01-2013;Mardi; ; ; ;
30-01-2013;Mercredi; ; ; ;
31-01-2013;Jeudi; ; ; ;
01-02-2013;Vendredi; ; ; ;
02-02-2013;Samedi; ; ; ;
03-02-2013;Dimanche; ; ; ;
04-02-2013;Lundi; ; ; ;
05-02-2013;Mardi; ; ; ;
06-02-2013;Mercredi; ; ; ;
07-02-2013;Jeudi; ; ; ;
08-02-2013;Vendredi; ; ; ;
09-02-2013;Samedi; ; ; ;
10-02-2013;Dimanche; ; ; ;
11-02-2013;Lundi; ; ; ;
12-02-2013;Mardi; ; ; ;
13-02-2013;Mercredi; ; ; ;
14-02-2013;Jeudi; ; ; ;
15-02-2013;Vendredi; ; ; ;
16-02-2013;Samedi; ;oui; ;Hiver
17-02-2013;Dimanche; ;oui; ;Hiver
18-02-2013;Lundi; ;oui; ;Hiver
19-02-2013;Mardi; ;oui; ;Hiver
20-02-2013;Mercredi; ;oui; ;Hiver
21-02-2013;Jeudi; ;oui; ;Hiver
22-02-2013;Vendredi; ;oui; ;Hiver
23-02-2013;Samedi;oui;oui; ;Hiver
24-02-2013;Dimanche;oui;oui; ;Hiver
25-02-2013;Lundi;oui;oui; ;Hiver
26-02-2013;Mardi;oui;oui; ;Hiver
27-02-2013;Mercredi;oui;oui; ;Hiver
28-02-2013;Jeudi;oui;oui; ;Hiver
01-03-2013;Vendredi;oui;oui; ;Hiver
02-03-2013;Samedi;oui;oui;oui;Hiver
03-03-2013;Dimanche;oui;oui;oui;Hiver
04-03-2013;Lundi;oui; ;oui;Hiver
05-03-2013;Mardi;oui; ;oui;Hiver
06-03-2013;Mercredi;oui; ;oui;Hiver
07-03-2013;Jeudi;oui; ;oui;Hiver
08-03-2013;Vendredi;oui; ;oui;Hiver
09-03-2013;Samedi;oui; ;oui;Hiver
10-03-2013;Dimanche;oui; ;oui;Hiver
11-03-2013;Lundi; ; ;oui;Hiver
12-03-2013;Mardi; ; ;oui;Hiver
13-03-2013;Mercredi; ; ;oui;Hiver
14-03-2013;Jeudi; ; ;oui;Hiver
15-03-2013;Vendredi; ; ;oui;Hiver
16-03-2013;Samedi; ; ;oui;Hiver
17-03-2013;Dimanche; ; ;oui;Hiver
18-03-2013;Lundi; ; ; ;
19-03-2013;Mardi; ; ; ;
20-03-2013;Mercredi; ; ; ;
21-03-2013;Jeudi; ; ; ;
22-03-2013;Vendredi; ; ; ;
23-03-2013;Samedi; ; ; ;
24-03-2013;Dimanche; ; ; ;
25-03-2013;Lundi; ; ; ;
26-03-2013;Mardi; ; ; ;
27-03-2013;Mercredi; ; ; ;
28-03-2013;Jeudi; ; ; ;
29-03-2013;Vendredi; ; ; ;
30-03-2013;Samedi; ; ; ;
31-03-2013;Dimanche; ; ; ;
01-04-2013;Lundi; ; ; ;
02-04-2013;Mardi; ; ; ;
03-04-2013;Mercredi; ; ; ;
04-04-2013;Jeudi; ; ; ;
05-04-2013;Vendredi; ; ; ;
06-04-2013;Samedi; ; ; ;
07-04-2013;Dimanche; ; ; ;
08-04-2013;Lundi; ; ; ;
09-04-2013;Mardi; ; ; ;
10-04-2013;Mercredi; ; ; ;
11-04-2013;Jeudi; ; ; ;
12-04-2013;Vendredi; ; ; ;
13-04-2013;Samedi; ;oui; ;Printemps
14-04-2013;Dimanche; ;oui; ;Printemps
15-04-2013;Lundi; ;oui; ;Printemps
16-04-2013;Mardi; ;oui; ;Printemps
17-04-2013;Mercredi; ;oui; ;Printemps
18-04-2013;Jeudi; ;oui; ;Printemps
19-04-2013;Vendredi; ;oui; ;Printemps
20-04-2013;Samedi;oui;oui; ;Printemps
21-04-2013;Dimanche;oui;oui; ;Printemps
22-04-2013;Lundi;oui;oui; ;Printemps
23-04-2013;Mardi;oui;oui; ;Printemps
24-04-2013;Mercredi;oui;oui; ;Printemps
25-04-2013;Jeudi;oui;oui; ;Printemps
26-04-2013;Vendredi;oui;oui; ;Printemps
27-04-2013;Samedi;oui;oui;oui;Printemps
28-04-2013;Dimanche;oui;oui;oui;Printemps
29-04-2013;Lundi;oui; ;oui;Printemps
30-04-2013;Mardi;oui; ;oui;Printemps
01-05-2013;Mercredi;oui; ;oui;Printemps
02-05-2013;Jeudi;oui; ;oui;Printemps
03-05-2013;Vendredi;oui; ;oui;Printemps
04-05-2013;Samedi;oui; ;oui;Printemps
05-05-2013;Dimanche;oui; ;oui;Printemps
06-05-2013;Lundi; ; ;oui;Printemps
07-05-2013;Mardi; ; ;oui;Printemps
08-05-2013;Mercredi; ; ;oui;Printemps
09-05-2013;Jeudi; ; ;oui;Printemps
10-05-2013;Vendredi; ; ;oui;Printemps
11-05-2013;Samedi; ; ;oui;Printemps
12-05-2013;Dimanche; ; ;oui;Printemps
13-05-2013;Lundi; ; ; ;
14-05-2013;Mardi; ; ; ;
15-05-2013;Mercredi; ; ; ;
16-05-2013;Jeudi; ; ; ;
17-05-2013;Vendredi; ; ; ;
18-05-2013;Samedi; ; ; ;
19-05-2013;Dimanche; ; ; ;
20-05-2013;Lundi; ; ; ;
21-05-2013;Mardi; ; ; ;
22-05-2013;Mercredi; ; ; ;
23-05-2013;Jeudi; ; ; ;
24-05-2013;Vendredi; ; ; ;
25-05-2013;Samedi; ; ; ;
26-05-2013;Dimanche; ; ; ;
27-05-2013;Lundi; ; ; ;
28-05-2013;Mardi; ; ; ;
29-05-2013;Mercredi; ; ; ;
30-05-2013;Jeudi; ; ; ;
31-05-2013;Vendredi; ; ; ;
01-06-2013;Samedi; ; ; ;
02-06-2013;Dimanche; ; ; ;
03-06-2013;Lundi; ; ; ;
04-06-2013;Mardi; ; ; ;
05-06-2013;Mercredi; ; ; ;
06-06-2013;Jeudi; ; ; ;
07-06-2013;Vendredi; ; ; ;
08-06-2013;Samedi; ; ; ;
09-06-2013;Dimanche; ; ; ;
10-06-2013;Lundi; ; ; ;
11-06-2013;Mardi; ; ; ;
12-06-2013;Mercredi; ; ; ;
13-06-2013;Jeudi; ; ; ;
14-06-2013;Vendredi; ; ; ;
15-06-2013;Samedi; ; ; ;
16-06-2013;Dimanche; ; ; ;
17-06-2013;Lundi; ; ; ;
18-06-2013;Mardi; ; ; ;
19-06-2013;Mercredi; ; ; ;
20-06-2013;Jeudi; ; ; ;
21-06-2013;Vendredi; ; ; ;
22-06-2013;Samedi; ; ; ;
23-06-2013;Dimanche; ; ; ;
24-06-2013;Lundi; ; ; ;
25-06-2013;Mardi; ; ; ;
26-06-2013;Mercredi; ; ; ;
27-06-2013;Jeudi; ; ; ;
28-06-2013;Vendredi; ; ; ;
29-06-2013;Samedi; ; ; ;
30-06-2013;Dimanche; ; ; ;
01-07-2013;Lundi; ; ; ;
02-07-2013;Mardi; ; ; ;
03-07-2013;Mercredi; ; ; ;
04-07-2013;Jeudi;oui;oui;oui;Été
05-07-2013;Vendredi;oui;oui;oui;Été
06-07-2013;Samedi;oui;oui;oui;Été
07-07-2013;Dimanche;oui;oui;oui;Été
08-07-2013;Lundi;oui;oui;oui;Été
09-07-2013;Mardi;oui;oui;oui;Été
10-07-2013;Mercredi;oui;oui;oui;Été
11-07-2013;Jeudi;oui;oui;oui;Été
12-07-2013;Vendredi;oui;oui;oui;Été
13-07-2013;Samedi;oui;oui;oui;Été
14-07-2013;Dimanche;oui;oui;oui;Été
15-07-2013;Lundi;oui;oui;oui;Été
16-07-2013;Mardi;oui;oui;oui;Été
17-07-2013;Mercredi;oui;oui;oui;Été
18-07-2013;Jeudi;oui;oui;oui;Été
19-07-2013;Vendredi;oui;oui;oui;Été
20-07-2013;Samedi;oui;oui;oui;Été
21-07-2013;Dimanche;oui;oui;oui;Été
22-07-2013;Lundi;oui;oui;oui;Été
23-07-2013;Mardi;oui;oui;oui;Été
24-07-2013;Mercredi;oui;oui;oui;Été
25-07-2013;Jeudi;oui;oui;oui;Été
26-07-2013;Vendredi;oui;oui;oui;Été
27-07-2013;Samedi;oui;oui;oui;Été
28-07-2013;Dimanche;oui;oui;oui;Été
29-07-2013;Lundi;oui;oui;oui;Été
30-07-2013;Mardi;oui;oui;oui;Été
31-07-2013;Mercredi;oui;oui;oui;Été
01-08-2013;Jeudi;oui;oui;oui;Été
02-08-2013;Vendredi;oui;oui;oui;Été
03-08-2013;Samedi;oui;oui;oui;Été
04-08-2013;Dimanche;oui;oui;oui;Été
05-08-2013;Lundi;oui;oui;oui;Été
06-08-2013;Mardi;oui;oui;oui;Été
07-08-2013;Mercredi;oui;oui;oui;Été
08-08-2013;Jeudi;oui;oui;oui;Été
09-08-2013;Vendredi;oui;oui;oui;Été
10-08-2013;Samedi;oui;oui;oui;Été
11-08-2013;Dimanche;oui;oui;oui;Été
12-08-2013;Lundi;oui;oui;oui;Été
13-08-2013;Mardi;oui;oui;oui;Été
14-08-2013;Mercredi;oui;oui;oui;Été
15-08-2013;Jeudi;oui;oui;oui;Été
16-08-2013;Vendredi;oui;oui;oui;Été
17-08-2013;Samedi;oui;oui;oui;Été
18-08-2013;Dimanche;oui;oui;oui;Été
19-08-2013;Lundi;oui;oui;oui;Été
20-08-2013;Mardi;oui;oui;oui;Été
21-08-2013;Mercredi;oui;oui;oui;Été
22-08-2013;Jeudi;oui;oui;oui;Été
23-08-2013;Vendredi;oui;oui;oui;Été
24-08-2013;Samedi;oui;oui;oui;Été
25-08-2013;Dimanche;oui;oui;oui;Été
26-08-2013;Lundi;oui;oui;oui;Été
27-08-2013;Mardi;oui;oui;oui;Été
28-08-2013;Mercredi;oui;oui;oui;Été
29-08-2013;Jeudi;oui;oui;oui;Été
30-08-2013;Vendredi;oui;oui;oui;Été
31-08-2013;Samedi;oui;oui;oui;Été
01-09-2013;Dimanche;oui;oui;oui;Été
02-09-2013;Lundi;oui;oui;oui;Été
03-09-2013;Mardi; ; ; ;
04-09-2013;Mercredi; ; ; ;
05-09-2013;Jeudi; ; ; ;
06-09-2013;Vendredi; ; ; ;
07-09-2013;Samedi; ; ; ;
08-09-2013;Dimanche; ; ; ;
09-09-2013;Lundi; ; ; ;
10-09-2013;Mardi; ; ; ;
11-09-2013;Mercredi; ; ; ;
12-09-2013;Jeudi; ; ; ;
13-09-2013;Vendredi; ; ; ;
14-09-2013;Samedi; ; ; ;
15-09-2013;Dimanche; ; ; ;
16-09-2013;Lundi; ; ; ;
17-09-2013;Mardi; ; ; ;
18-09-2013;Mercredi; ; ; ;
19-09-2013;Jeudi; ; ; ;
20-09-2013;Vendredi; ; ; ;
21-09-2013;Samedi; ; ; ;
